Sector,Region,Year,GVA,Employment,Number of business sites
Digital Sector,West Midlands,2012,4609.414685479243,,
Digital Sector,West Midlands,2013,5121.253592422905,,
Digital Sector,West Midlands,2014,5234.585983024125,86,12.726
Digital Sector,West Midlands,2015,5178.082672827863,87,13.556
Digital Sector,West Midlands,2016,5576.3570906594405,95,
Digital Sector,West Midlands,2017,,92,
Digital Sector,Yorkshire and The Humber,2010,3837.0654254605215,,
Digital Sector,Yorkshire and The Humber,2011,4159.696228514502,,
Digital Sector,Yorkshire and The Humber,2012,4034.1347366286172,,
Digital Sector,Yorkshire and The Humber,2013,3920.5183257158765,,
Digital Sector,Yorkshire and The Humber,2014,3782.8827185360205,72,9.784
Digital Sector,Yorkshire and The Humber,2015,3916.3174853574283,78,10.509
Digital Sector,Yorkshire and The Humber,2016,4223.233628759215,77,
Digital Sector,Yorkshire and The Humber,2017,,75,
Gambling,East,2010,1194.0,,
Gambling,East,2011,1349.0,,
Gambling,East,2012,1136.0,,
Gambling,East,2013,1005.8991074114933,,
Gambling,East,2014,857.9174205967275,,0.842
Gambling,East,2015,958.9132283749548,,0.829
Gambling,East,2016,1086.9581888065998,,
Gambling,East Midlands,2010,550.0,,
Gambling,East Midlands,2011,652.0,,
Gambling,East Midlands,2012,679.0,,
Gambling,East Midlands,2013,638.935914151038,,
Gambling,East Midlands,2014,833.9197305101059,,0.656
Gambling,East Midlands,2015,1041.905718422005,,0.644
Gambling,East Midlands,2016,1096.939439392519,,
Gambling,London,2010,1590.0,,
Gambling,London,2011,1478.0,,
Gambling,London,2012,1589.0,,
Gambling,London,2013,1601.8393340687994,,
Gambling,London,2014,1746.8318575553417,,2.154
Gambling,London,2015,1819.8353239232717,,2.109
Gambling,London,2016,1781.6532295865754,,
Gambling,North East,2010,305.0,,
Gambling,North East,2011,380.0,,
Gambling,North East,2012,420.0,,
Gambling,North East,2013,424.95737639153543,,
Gambling,North East,2014,459.9557266602502,,0.652
Gambling,North East,2015,601.9455302207746,,0.64
Gambling,North East,2016,582.9050342176807,,
Gambling,North West,2010,1000.0,,
Gambling,North West,2011,1080.0,,
Gambling,North West,2012,1233.0,,
Gambling,North West,2013,1172.8823588406378,,
Gambling,North West,2014,1188.885563041386,,1.479
Gambling,North West,2015,1292.8830076004342,,1.462
Gambling,North West,2016,1226.6956970094684,,
Gambling,Northern Ireland,2010,233.0,,
Gambling,Northern Ireland,2011,232.0,,
Gambling,Northern Ireland,2012,259.0,,
Gambling,Northern Ireland,2013,223.9775348510681,,
Gambling,Northern Ireland,2014,216.97911453320498,,0.403
Gambling,Northern Ireland,2015,266.97584147665583,,0.405
Gambling,Northern Ireland,2016,268.4956407612262,,
Gambling,Scotland,2010,1355.0,,
Gambling,Scotland,2011,1319.0,,
Gambling,Scotland,2012,1442.0,,
Gambling,Scotland,2013,1493.8501654798915,,
Gambling,Scotland,2014,1308.8740134744946,,1.218
Gambling,Scotland,2015,1342.8784835323922,,1.184
Gambling,Scotland,2016,1267.6188244117373,,
Gambling,South East,2010,619.0,,
Gambling,South East,2011,925.0,,
Gambling,South East,2012,927.0,,
Gambling,South East,2013,1167.8828602948552,,
Gambling,South East,2014,1288.8759384023099,,1.171
Gambling,South East,2015,1202.89115092291,,1.143
Gambling,South East,2016,1040.0463110527796,,
Gambling,South West,2010,299.0,,
Gambling,South West,2011,260.0,,
Gambling,South West,2012,312.0,,
Gambling,South West,2013,348.96499849563736,,
Gambling,South West,2014,442.9573628488931,,0.643
Gambling,South West,2015,410.9628121606949,,0.634
Gambling,South West,2016,351.34002062435553,,
Gambling,Wales,2010,211.0,,
Gambling,Wales,2011,300.0,,
Gambling,Wales,2012,362.0,,
Gambling,Wales,2013,351.96469762310704,,
Gambling,Wales,2014,314.9696823869105,,0.526
Gambling,Wales,2015,311.971769815418,,0.514
Gambling,Wales,2016,271.49001593700194,,
Gambling,West Midlands,2010,491.0,,
Gambling,West Midlands,2011,729.0,,
Gambling,West Midlands,2012,841.0,,
Gambling,West Midlands,2013,948.9048239895698,,
Gambling,West Midlands,2014,1140.8901828681426,,0.914
Gambling,West Midlands,2015,1107.8997466521896,,0.904
Gambling,West Midlands,2016,1120.894440798725,,
Gambling,Yorkshire and The Humber,2010,554.0,,
Gambling,Yorkshire and The Humber,2011,586.0,,
Gambling,Yorkshire and The Humber,2012,683.0,,
Gambling,Yorkshire and The Humber,2013,589.9408284023668,,
Gambling,Yorkshire and The Humber,2014,587.9434071222329,,1.032
Gambling,Yorkshire and The Humber,2015,691.937386898299,,1.005
Gambling,Yorkshire and The Humber,2016,551.9631574013313,,
Sport,East,2010,588.9252864772769,,
Sport,East,2011,680.7693287300774,,
Sport,East,2012,781.0535388533395,,
Sport,East,2013,829.3132999427548,,
Sport,East,2014,784.2696791998349,,3.901
Sport,East,2015,875.6413875254931,,4.055
Sport,East,2016,927.5816195874851,,
Sport,East Midlands,2010,454.3509294064568,,
Sport,East Midlands,2011,463.7407660423095,,
Sport,East Midlands,2012,502.4685394083198,,
Sport,East Midlands,2013,431.5254445592535,,
Sport,East Midlands,2014,305.52538462751,,2.469
Sport,East Midlands,2015,328.08927159584056,,2.624
Sport,East Midlands,2016,354.8178677721006,,
Sport,London,2010,1058.5300289555682,,
Sport,London,2011,1152.0017264321377,,
Sport,London,2012,1351.7820367246168,,
Sport,London,2013,1223.0468457505715,,
Sport,London,2014,1335.399797862579,,4.049
Sport,London,2015,1564.6855233849067,,4.404
Sport,London,2016,1618.4988678544073,,
Sport,North East,2010,264.2900720211911,,
Sport,North East,2011,428.90051400668705,,
Sport,North East,2012,272.66063159314024,,
Sport,North East,2013,197.03201645878724,,
Sport,North East,2014,263.2350989732824,,1.17
Sport,North East,2015,285.60787861423825,,1.236
Sport,North East,2016,304.0943902519128,,
Sport,North West,2010,751.0755946362126,,
Sport,North West,2011,762.7483777255583,,
Sport,North West,2012,890.489329018383,,
Sport,North West,2013,935.4201418211676,,
Sport,North West,2014,994.4386822019258,,3.666
Sport,North West,2015,1047.7465398639895,,3.835
Sport,North West,2016,1125.5070443547509,,
Sport,Northern Ireland,2010,229.41808658961853,,
Sport,Northern Ireland,2011,300.17369860710085,,
Sport,Northern Ireland,2012,265.95442635674425,,
Sport,Northern Ireland,2013,229.53805294434528,,
Sport,Northern Ireland,2014,226.84493188372335,,1.009
Sport,Northern Ireland,2015,199.42496260128578,,1.04
Sport,Northern Ireland,2016,208.28556342862998,,
Sport,Scotland,2010,544.2541153778521,,
Sport,Scotland,2011,560.9685204339061,,
Sport,Scotland,2012,535.9664640123341,,
Sport,Scotland,2013,598.2955109592953,,
Sport,Scotland,2014,583.9763046385385,,3.526
Sport,Scotland,2015,652.0787230030904,,3.55
Sport,Scotland,2016,679.6266146159816,,
Sport,South East,2010,1103.990421266008,,
Sport,South East,2011,1179.8373055563661,,
Sport,South East,2012,1276.4697942481844,,
Sport,South East,2013,982.3040459852679,,
Sport,South East,2014,1122.0966386206724,,6.375
Sport,South East,2015,1382.1331140316668,,6.672
Sport,South East,2016,1429.8478404626887,,
Sport,South West,2010,533.2903535622085,,
Sport,South West,2011,561.7623245870241,,
Sport,South West,2012,611.3658667154789,,
Sport,South West,2013,617.9470203636198,,
Sport,South West,2014,694.6019312188002,,4.03
Sport,South West,2015,722.5707501161929,,4.165
Sport,South West,2016,773.207247601968,,
Sport,Wales,2010,258.05202308629623,,
Sport,Wales,2011,323.41454180959175,,
Sport,Wales,2012,336.10323093404054,,
Sport,Wales,2013,311.667058235069,,
Sport,Wales,2014,308.1086714575132,,1.656
Sport,Wales,2015,361.33860177275807,,1.729
Sport,Wales,2016,378.99988884529733,,
Sport,West Midlands,2010,765.342694208701,,
Sport,West Midlands,2011,462.4901360391556,,
Sport,West Midlands,2012,493.996608945193,,
Sport,West Midlands,2013,526.1602043044657,,
Sport,West Midlands,2014,523.0300736957274,,2.733
Sport,West Midlands,2015,599.4934764730397,,2.844
Sport,West Midlands,2016,617.6553389054717,,
Sport,Yorkshire and The Humber,2010,473.96457850522154,,
Sport,Yorkshire and The Humber,2011,520.0665063434508,,
Sport,Yorkshire and The Humber,2012,562.5395771329979,,
Sport,Yorkshire and The Humber,2013,608.3257651498703,,
Sport,Yorkshire and The Humber,2014,610.8996148464622,,2.892
Sport,Yorkshire and The Humber,2015,591.3695596101128,,3.025
Sport,Yorkshire and The Humber,2016,617.3713262642834,,
Telecoms,East,2010,2099.0,,
Telecoms,East,2011,2019.079322673162,,
Telecoms,East,2012,2255.9999999999995,,
Telecoms,East,2013,2636.81219955133,,
Telecoms,East,2014,2981.9999999999995,,1.223
Telecoms,East,2015,2670.912060053337,,1.262
Telecoms,East,2016,2488.1822876753413,,
Telecoms,East Midlands,2010,686.0,,
